index,source_en,predicted_hi,reference_hi,chrf_score,category,pred_len,ref_len,len_diff
0,a black box in your car?,अपनी कार में एक ब्लैक बॉक्स?,आपकी कार में ब्लैक बॉक्स?,69.25,Good,6,5,1
1,"as americas road planners struggle to find the cash to mend a crumbling highway system, many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car.","जैसे एमरिका सड़क योजनार एक ढही सड़क व्यवस्था को सुधारने के लिए नकदी को खोजने का संघर्ष करते हैं, अनेक लोग एक छोटे से काले बॉक्स में एक समाधान देखने लगे हैं जो आपकी कार के पुल से ठीक बैठता है.","जबकि अमेरिका के सड़क योजनाकार, ध्वस्त होते हुए हाईवे सिस्टम को सुधारने के लिए धन की कमी से जूझ रहे हैं, वहीं बहुतसे लोग इसका समाधान छोटे से ब्लैक बॉक्स में देख रहे हैं, जो आपकी कार के डैशबोर्ड पर सफ़ाई से फिट हो जाता है।",35.97,Medium,41,46,5
2,"the devices, which track every mile a motorist drives and transmit that information to bureaucrats, are at the center of a controversial attempt in washington and state planning offices to overhaul the outdated system for funding americas major roads.","ये उपकरण, जो हर मील एक मोटर - चालक ड्राइव को ट्रैक करते हैं और ऐसी जानकारी देते हैं, जो बिस्चियों को जानकारी देने के लिए एक विवादपूर्ण प्रयास के केंद्र पर हैं और राज्य कार्यालयों से अधिक धन - दौलत कमाने के लिए भौतिक व्यवस्था का निर्माण करते हैं ।","यह डिवाइस, जो मोटरचालक द्वारा वाहन चलाए गए प्रत्येक मील को ट्रैक करती है तथा उस सूचना को अधिकारियों को संचारित करती है, आजकल अमेरिका की प्रमुख सड़कों का वित्तपोषण करने के लिए पुराने हो चुके सिस्टम का जीर्णोद्धार करने के लिए वाशिंगटन और राज्य नियोजन कार्यालय के लिए एक विवादास्पद प्रयास का मुद्दा बन चुका है।",31.01,Medium,51,57,6
3,the usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances.,आम तौर पर सड़क योजना के ठंडे रंग के अखाड़े में अचानक बहस और रंग - बिरंगी ब्याहों की वजह से बहस छिड़ जाती है ।,आम तौर पर हाईवे नियोजन जैसा उबाऊ काम भी अचानक गहन बहस तथा जीवंत गठबंधनों का मुद्दा बन गया है।,22.66,Medium,26,20,6
4,"libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive, and possibly where you drive them then use the information to draw up a tax bill.","वी. का इस्तेमाल करते हैं ताकि आप अपने गाड़ी से मीलों दूर रहें, और संभवतः जहाँ आप उन्हें जाते हैं वहाँ जानकारी का प्रयोग करें ताकि वे कर के बिल खींच सकें ।","आपने द्वारा ड्राइव किए गए मील, तथा संभवतः ड्राइव किए गए स्थान का विवरण रखने और फिर इस सूचना का उपयोग टैक्स बिल तैयार करने के लिए सरकार को इन ब्लैक बॉक्स का उपयोग करने की अनुमति देने के पक्ष में समर्थन जुटाने के लिए लिबरेटेरियन पर्यावरणीय समूहों के साथ मिल गए हैं।",14.71,Bad,33,53,20
5,the tea party is aghast.,चाय पार्टी कम हो गई है.,चाय पार्टी भौचक्की है।,42.8,Medium,6,4,2
6,"the american civil liberties union is deeply concerned, too, raising a variety of privacy issues.",एक व्यक्‍ति को समाज की आज़ादी की बहुत फिक्र रहती है और वह अलग - अलग निजी विषयों पर अलग - अलग राय रखता है ।,अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है।,14.28,Bad,26,15,11
7,"and while congress cant agree on whether to proceed, several states are not waiting.","और जबकि सम्मेलन आगे बढ़ने पर सहमत हो सकते हैं, अनेक राष्ट्र इंतज़ार नहीं कर रहे हैं ।","जबकि कांग्रेस इस बात पर सहमत नहीं हो सकी कि आगे की कार्यवाही करनी है या नहीं, बहुत से राज्य प्रतीक्षा नहीं कर रहे।",24.26,Medium,18,24,6
8,"they are exploring how, over the next decade, they can move to a system in which drivers pay per mile of road they roll over.","वे कल्पना कर रहे हैं कि अगले दशक में, वे एक ऐसी व्यवस्था में जा सकते हैं जिसमें ड्राइवर हर मील की दूरी पर गाड़ी चलाते हैं ।","वे यह खोज कर रहे हैं कि अगले दशक में वे किस तरह से ऐसी प्रणाली में जा सकते हैं, जिसमें चालक सड़क पर तय किए गए प्रत्येक मील के लिए भुगतान करे।",39.19,Medium,28,33,5
9,"thousands of motorists have already taken the black boxes, some of which have gps monitoring, for a test drive.","हज़ारों मोटर - चालकों ने पहले ही ब्लैक बक्से ले लिए हैं, जिनमें से कुछ के लिए gseps है, एक परीक्षण ड्राइव के लिए.","हजारों मोटरचालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है, जिसमें से कुछ में जी.पी.एस. मॉनीटरिंग है।",45.79,Medium,24,21,3
10,this really is a must for our nation.,यह वास्तव में हमारी जाति के लिए एक होना चाहिए.,यह हमारे देश के लिए वास्तव में अनिवार्य वस्तु है।,31.75,Medium,10,10,0
